Index,gain_kr,gain_ks,gain_to,gain_na,gain_ca,APD90,APD60,APD40,APA,TRI60,TRI40,90PERCENT,90to90,PeakDist,EAD,Alternan,Pro-Arrhythmic
2083,0.48266734154394725,1.8083448125182915,0.4775478869151064,1.0531382700585041,2.621348525661538,573.6237719865749,525.9776732231257,230.8655479994486,126.40946230458263,-0.85316647003642,-0.3217287760293432,-78.53425498935087,575.9052211138769,368.2879856469226,True,False,True
2239,0.1598061991161809,1.3692584871727216,0.43926089158758785,0.8289846149822807,2.4554137083126815,,,,,,,,,,False,True,True
2407,0.6363968026290111,0.22132510786544302,2.5470312020004737,1.002599189342398,4.439210854265512,624.9087511588586,580.0050701439613,213.9909132104367,125.01437859630965,-0.8119231752863624,-0.3662831722958763,-79.02403363871794,652.8796977633028,465.0882151554106,True,False,True
2411,0.404122306089201,0.6334576788218158,1.2983031535693053,0.6495158812804781,2.252560147791786,581.2900921690743,537.9019838232198,251.16856809711317,121.50710786665715,-0.913917317188423,-0.31616704917737626,-79.035068677267,606.0210783871007,394.83622339816066,True,False,True
2470,0.6532163845498885,0.5034699359485325,0.5838725102683623,1.0386961407813702,3.2582607449080907,523.6721734845778,477.9561953342636,209.9842529547168,127.16678901172588,-0.877357877103412,-0.23666130550146583,-78.49920422274509,540.5456204545335,345.89393845835,True,False,True
2494,0.254397614875905,0.6026055097910492,0.6505023090680705,1.912505930710562,1.952685715363463,,,,,,,,,,False,True,True
2595,0.4037928069068029,1.0745593215425755,1.6187110548100392,0.29529366117030476,2.9386209991170404,543.9695290379459,499.6375575886923,216.00997103599366,123.92156612287219,-0.9105952995264197,-0.3157311256791525,-79.00638554300718,568.8870333203813,344.9369936088333,True,False,True
2602,0.44261223757700957,1.3956677893554652,0.7920044950738387,0.28964851939106495,2.4153640212216385,571.1005095855216,525.8632286346983,232.2019657374476,123.95898901705692,-0.8946734641330937,-0.28895026813573776,-78.75810187440972,591.0237772492692,378.99260449339636,True,False,True
2606,0.3177336854433812,0.9054752726180706,0.5740702255003983,0.23197405025250525,2.8302637783806612,,,,,,,,,,False,True,True
2647,0.8106293737903715,0.5332715495729469,2.3250125377351294,3.0417791339210423,6.336894855177112,,,,,,,,,,False,True,True
2648,0.11042775284116191,2.051534941282119,1.7967108203187698,1.5216840498515058,2.8111236971826377,,,,,,,,,,False,True,True
2873,0.5476277269202796,1.2647699264543057,0.7086713611162679,0.31742350019300586,2.797226912137918,539.8636619485915,495.7942354104598,217.64284607284935,125.52097869684783,-0.8999206134526788,-0.2823133701865873,-78.61364729016373,558.4959529208136,358.60540432611015,True,False,True
2941,0.3777344849765241,2.2457197907098254,0.9000124613289023,2.4691478638026303,3.794826586176019,,,,,,,,,,False,True,True
